arquivo,palavra,ascii,par_id,escritor,semente,real,marca,onde,indice,medivel,fileiras_pauta,faixa_massa,faixa_massa_rel,faixa_densidade,tem_gemeo,diff_massa_acc,diff_massa_asc,diff_delta,diff_delta_rel,diff_acima_do_topo,e2_lido,e2_cer,e1_escore,e1_presente,categoria
pais-8b83c1__acc__w32__s0.png,país,pais,pais-8b83c1,32,0,False,agudo,acima,2,True,0,36,0.05547,0.11613,True,109,26,83,0.30741,0,,,0.30741,,
individuos-2e50a2__acc__w32__s0.png,indivíduos,individuos,individuos-2e50a2,32,0,False,agudo,acima,5,True,0,5,0.03448,0.00292,True,5,13,-8,-0.0479,0,,,-0.0479,,
esta-2d1080__acc__w32__s0.png,está,esta,esta-2d1080,32,0,False,agudo,acima,3,True,0,270,0.72581,0.11936,True,265,265,0,0.0,0,,,0.0,,
filosofo-6185fc__acc__w32__s0.png,filósofo,filosofo,filosofo-6185fc,32,0,False,agudo,acima,3,True,0,13,0.05882,0.01094,True,26,13,13,0.065,0,,,0.065,,
vies-abb582__acc__w32__s0.png,viés,vies,vies-abb582,32,0,False,agudo,acima,2,True,0,94,0.12467,0.06592,True,94,112,-18,-0.02378,0,,,-0.02378,,
sera-615740__acc__w32__s0.png,será,sera,sera-615740,32,0,False,agudo,acima,3,True,0,7,0.00638,0.00971,True,7,3,4,0.00376,0,,,0.00376,,
aqueles-f3aa73__acc__w32__s0.png,àqueles,aqueles,aqueles-f3aa73,32,0,False,grave,acima,0,True,0,30,0.11111,0.06818,True,46,36,10,0.04098,4,,,0.04098,,
aquele-305a09__acc__w32__s0.png,àquele,aquele,aquele-305a09,32,0,False,grave,acima,0,True,0,5,0.01524,0.00687,True,4,5,-1,-0.00286,0,,,-0.00286,,
aquela-5f0a77__acc__w32__s0.png,àquela,aquela,aquela-5f0a77,32,0,False,grave,acima,0,True,0,11,0.06395,0.0193,True,12,4,8,0.04444,0,,,0.04444,,
aquelas-cda0ac__acc__w32__s0.png,àquelas,aquelas,aquelas-cda0ac,32,0,False,grave,acima,0,True,0,38,0.14504,0.07851,True,38,36,2,0.008,0,,,0.008,,
epoque-f59620__acc__w32__s0.png,èpoque,epoque,epoque-f59620,32,0,False,grave,acima,0,True,0,56,0.175,0.14815,True,57,59,-2,-0.00641,0,,,-0.00641,,
importancia-39f2c4__acc__w32__s0.png,importância,importancia,importancia-39f2c4,32,0,False,circunflexo,acima,6,True,0,54,0.28723,0.0472,True,54,61,-7,-0.03911,2,,,-0.03911,,
negligencia-07e163__acc__w32__s0.png,negligência,negligencia,negligencia-07e163,32,0,False,circunflexo,acima,6,True,0,20,0.10811,0.02165,True,13,13,0,0.0,0,,,0.0,,
influencia-754992__acc__w32__s0.png,influência,influencia,influencia-754992,32,0,False,circunflexo,acima,5,True,0,9,0.04663,0.00844,True,9,14,-5,-0.02358,0,,,-0.02358,,
ineficiencia-65d1bb__acc__w32__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,32,0,False,circunflexo,acima,7,True,0,39,0.17257,0.03659,True,46,37,9,0.03502,15,,,0.03502,,
porque-90c5f0__acc__w32__s0.png,porquê,porque,porque-90c5f0,32,0,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
pode-9faff7__acc__w32__s0.png,pôde,pode,pode-9faff7,32,0,False,circunflexo,acima,1,True,0,18,0.05405,0.01858,True,12,4,8,0.02299,6,,,0.02299,,
depressao-2d26ca__acc__w32__s0.png,depressão,depressao,depressao-2d26ca,32,0,False,til,acima,7,True,0,2,0.00685,0.00255,True,2,1,1,0.00315,0,,,0.00315,,
cidadaos-88079d__acc__w32__s0.png,cidadãos,cidadaos,cidadaos-88079d,32,0,False,til,acima,5,True,0,139,0.32176,0.0702,True,111,130,-19,-0.0446,0,,,-0.0446,,
questao-72d350__acc__w32__s0.png,questão,questao,questao-72d350,32,0,False,til,acima,5,True,0,61,0.20539,0.08299,True,57,44,13,0.03552,0,,,0.03552,,
exclusao-7a9dad__acc__w32__s0.png,exclusão,exclusao,exclusao-7a9dad,32,0,False,til,acima,6,True,0,35,0.06045,0.02091,True,39,44,-5,-0.00803,0,,,-0.00803,,
regioes-ba061c__acc__w32__s0.png,regiões,regioes,regioes-ba061c,32,0,False,til,acima,4,True,0,16,0.05614,0.02735,True,16,10,6,0.02941,0,,,0.02941,,
visao-ee76db__acc__w32__s0.png,visão,visao,visao-ee76db,32,0,False,til,acima,3,True,0,34,0.06285,0.01637,True,19,18,1,0.00131,18,,,0.00131,,
doencas-7ee44f__acc__w32__s0.png,doenças,doencas,doencas-7ee44f,32,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
doenca-0cc034__acc__w32__s0.png,doença,doenca,doenca-0cc034,32,0,False,cedilha,abaixo,4,True,0,27,0.05,0.13235,True,45,64,-19,-0.03934,0,,,-0.03934,,
espaco-222fe5__acc__w32__s0.png,espaço,espaco,espaco-222fe5,32,0,False,cedilha,abaixo,4,True,0,5,0.01155,0.00237,True,0,0,0,0.0,0,,,0.0,,
preco-f110c7__acc__w32__s0.png,preço,preco,preco-f110c7,32,0,False,cedilha,abaixo,3,True,0,28,0.04452,0.01326,True,28,24,4,0.00745,0,,,0.00745,,
espacos-a321bd__acc__w32__s0.png,espaços,espacos,espacos-a321bd,32,0,False,cedilha,abaixo,4,True,0,14,0.03655,0.00763,True,0,3,-3,-0.00446,0,,,-0.00446,,
presenca-d6581f__acc__w32__s0.png,presença,presenca,presenca-d6581f,32,0,False,cedilha,abaixo,6,True,0,1,0.00254,0.00055,True,0,35,-35,-0.086,0,,,-0.086,,
pais-8b83c1__acc__w424__s0.png,país,pais,pais-8b83c1,424,0,False,agudo,acima,2,True,0,111,0.2033,0.14919,True,162,38,124,0.29736,0,,,0.29736,,
individuos-2e50a2__acc__w424__s0.png,indivíduos,individuos,individuos-2e50a2,424,0,False,agudo,acima,5,True,0,54,0.25962,0.03241,True,65,78,-13,-0.05909,0,,,-0.05909,,
esta-2d1080__acc__w424__s0.png,está,esta,esta-2d1080,424,0,False,agudo,acima,3,True,0,227,0.46901,0.11511,True,227,130,97,0.21319,0,,,0.21319,,
filosofo-6185fc__acc__w424__s0.png,filósofo,filosofo,filosofo-6185fc,424,0,False,agudo,acima,3,True,0,116,0.39322,0.10545,True,145,120,25,0.08741,0,,,0.08741,,
vies-abb582__acc__w424__s0.png,viés,vies,vies-abb582,424,0,False,agudo,acima,2,True,0,90,0.11553,0.07143,True,132,120,12,0.01657,0,,,0.01657,,
sera-615740__acc__w424__s0.png,será,sera,sera-615740,424,0,False,agudo,acima,3,True,0,33,0.03167,0.02001,True,9,6,3,0.00279,0,,,0.00279,,
aqueles-f3aa73__acc__w424__s0.png,àqueles,aqueles,aqueles-f3aa73,424,0,False,grave,acima,0,True,0,37,0.14567,0.05606,True,37,38,-1,-0.00426,0,,,-0.00426,,
aquele-305a09__acc__w424__s0.png,àquele,aquele,aquele-305a09,424,0,False,grave,acima,0,True,0,33,0.132,0.04044,True,33,34,-1,-0.00365,2,,,-0.00365,,
aquela-5f0a77__acc__w424__s0.png,àquela,aquela,aquela-5f0a77,424,0,False,grave,acima,0,True,0,27,0.10588,0.03176,True,38,37,1,0.0041,0,,,0.0041,,
aquelas-cda0ac__acc__w424__s0.png,àquelas,aquelas,aquelas-cda0ac,424,0,False,grave,acima,0,True,0,48,0.18182,0.06818,True,41,40,1,0.00361,0,,,0.00361,,
epoque-f59620__acc__w424__s0.png,èpoque,epoque,epoque-f59620,424,0,False,grave,acima,0,True,0,88,0.21569,0.16858,True,71,73,-2,-0.00467,0,,,-0.00467,,
importancia-39f2c4__acc__w424__s0.png,importância,importancia,importancia-39f2c4,424,0,False,circunflexo,acima,6,True,0,87,0.39367,0.07733,True,69,68,1,0.00365,0,,,0.00365,,
negligencia-07e163__acc__w424__s0.png,negligência,negligencia,negligencia-07e163,424,0,False,circunflexo,acima,6,True,0,11,0.05314,0.0125,True,11,4,7,0.02767,3,,,0.02767,,
influencia-754992__acc__w424__s0.png,influência,influencia,influencia-754992,424,0,False,circunflexo,acima,5,True,0,6,0.0239,0.00491,True,16,18,-2,-0.00651,0,,,-0.00651,,
ineficiencia-65d1bb__acc__w424__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,424,0,False,circunflexo,acima,7,True,0,52,0.23318,0.04762,True,45,30,15,0.04967,17,,,0.04967,,
porque-90c5f0__acc__w424__s0.png,porquê,porque,porque-90c5f0,424,0,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,0,27,-27,-0.05672,0,,,-0.05672,,
pode-9faff7__acc__w424__s0.png,pôde,pode,pode-9faff7,424,0,False,circunflexo,acima,1,True,0,7,0.02053,0.00777,True,16,22,-6,-0.02091,2,,,-0.02091,,
depressao-2d26ca__acc__w424__s0.png,depressão,depressao,depressao-2d26ca,424,0,False,til,acima,7,True,0,5,0.01211,0.006,True,33,24,9,0.025,0,,,0.025,,
cidadaos-88079d__acc__w424__s0.png,cidadãos,cidadaos,cidadaos-88079d,424,0,False,til,acima,5,True,0,107,0.18074,0.06049,True,102,114,-12,-0.02094,0,,,-0.02094,,
questao-72d350__acc__w424__s0.png,questão,questao,questao-72d350,424,0,False,til,acima,5,True,0,65,0.17906,0.07081,True,74,88,-14,-0.03431,0,,,-0.03431,,
exclusao-7a9dad__acc__w424__s0.png,exclusão,exclusao,exclusao-7a9dad,424,0,False,til,acima,6,True,0,60,0.0974,0.03663,True,66,47,19,0.02794,18,,,0.02794,,
regioes-ba061c__acc__w424__s0.png,regiões,regioes,regioes-ba061c,424,0,False,til,acima,4,True,0,10,0.03003,0.0202,True,10,11,-1,-0.00322,0,,,-0.00322,,
visao-ee76db__acc__w424__s0.png,visão,visao,visao-ee76db,424,0,False,til,acima,3,True,0,99,0.11928,0.05392,True,106,85,21,0.02021,3,,,0.02021,,
doencas-7ee44f__acc__w424__s0.png,doenças,doencas,doencas-7ee44f,424,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,7,12,-5,-0.00832,0,,,-0.00832,,
doenca-0cc034__acc__w424__s0.png,doença,doenca,doenca-0cc034,424,0,False,cedilha,abaixo,4,True,0,11,0.02703,0.02022,True,0,1,-1,-0.00231,0,,,-0.00231,,
espaco-222fe5__acc__w424__s0.png,espaço,espaco,espaco-222fe5,424,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,24,0,24,0.03577,24,,,0.03577,,
preco-f110c7__acc__w424__s0.png,preço,preco,preco-f110c7,424,0,False,cedilha,abaixo,3,True,0,28,0.03867,0.01411,True,118,0,118,0.18583,118,,,0.18583,,
espacos-a321bd__acc__w424__s0.png,espaços,espacos,espacos-a321bd,424,0,False,cedilha,abaixo,4,True,0,34,0.07456,0.01944,True,18,42,-24,-0.08856,0,,,-0.08856,,
presenca-d6581f__acc__w424__s0.png,presença,presenca,presenca-d6581f,424,0,False,cedilha,abaixo,6,True,0,191,0.36312,0.09326,True,191,30,161,0.33472,157,,,0.33472,,
pais-8b83c1__acc__w375__s0.png,país,pais,pais-8b83c1,375,0,False,agudo,acima,2,True,0,105,0.39773,0.10836,True,67,26,41,0.19159,0,,,0.19159,,
individuos-2e50a2__acc__w375__s0.png,indivíduos,individuos,individuos-2e50a2,375,0,False,agudo,acima,5,True,0,49,0.20763,0.03125,True,49,49,0,0.0,0,,,0.0,,
esta-2d1080__acc__w375__s0.png,está,esta,esta-2d1080,375,0,False,agudo,acima,3,True,0,234,0.51316,0.11207,True,234,225,9,0.01982,0,,,0.01982,,
filosofo-6185fc__acc__w375__s0.png,filósofo,filosofo,filosofo-6185fc,375,0,False,agudo,acima,3,True,0,18,0.09326,0.01538,True,24,20,4,0.02367,0,,,0.02367,,
vies-abb582__acc__w375__s0.png,viés,vies,vies-abb582,375,0,False,agudo,acima,2,True,0,100,0.10858,0.04902,True,82,48,34,0.03672,19,,,0.03672,,
sera-615740__acc__w375__s0.png,será,sera,sera-615740,375,0,False,agudo,acima,3,True,0,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
aqueles-f3aa73__acc__w375__s0.png,àqueles,aqueles,aqueles-f3aa73,375,0,False,grave,acima,0,True,0,20,0.08403,0.02558,True,20,16,4,0.01626,0,,,0.01626,,
aquele-305a09__acc__w375__s0.png,àquele,aquele,aquele-305a09,375,0,False,grave,acima,0,True,0,34,0.20988,0.04722,True,37,19,18,0.07317,23,,,0.07317,,
aquela-5f0a77__acc__w375__s0.png,àquela,aquela,aquela-5f0a77,375,0,False,grave,acima,0,True,0,44,0.26667,0.05685,True,64,64,0,0.0,0,,,0.0,,
aquelas-cda0ac__acc__w375__s0.png,àquelas,aquelas,aquelas-cda0ac,375,0,False,grave,acima,0,True,0,46,0.23711,0.04978,True,46,50,-4,-0.02,1,,,-0.02,,
epoque-f59620__acc__w375__s0.png,èpoque,epoque,epoque-f59620,375,0,False,grave,acima,0,True,0,96,0.26593,0.19048,True,76,112,-36,-0.07392,0,,,-0.07392,,
importancia-39f2c4__acc__w375__s0.png,importância,importancia,importancia-39f2c4,375,0,False,circunflexo,acima,6,True,0,88,0.38261,0.08,True,88,82,6,0.02264,3,,,0.02264,,
negligencia-07e163__acc__w375__s0.png,negligência,negligencia,negligencia-07e163,375,0,False,circunflexo,acima,6,True,0,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
influencia-754992__acc__w375__s0.png,influência,influencia,influencia-754992,375,0,False,circunflexo,acima,5,True,0,7,0.03723,0.00641,True,7,26,-19,-0.0748,0,,,-0.0748,,
ineficiencia-65d1bb__acc__w375__s0.png,ineficiência,ineficiencia,ineficiencia-65d1bb,375,0,False,circunflexo,acima,7,True,0,41,0.15953,0.03704,True,35,28,7,0.025,8,,,0.025,,
porque-90c5f0__acc__w375__s0.png,porquê,porque,porque-90c5f0,375,0,False,circunflexo,acima,5,True,0,42,0.12613,0.12353,True,42,42,0,0.0,0,,,0.0,,
pode-9faff7__acc__w375__s0.png,pôde,pode,pode-9faff7,375,0,False,circunflexo,acima,1,True,0,12,0.03974,0.01192,True,43,49,-6,-0.02362,0,,,-0.02362,,
depressao-2d26ca__acc__w375__s0.png,depressão,depressao,depressao-2d26ca,375,0,False,til,acima,7,True,0,22,0.09091,0.02138,True,20,11,9,0.03191,10,,,0.03191,,
cidadaos-88079d__acc__w375__s0.png,cidadãos,cidadaos,cidadaos-88079d,375,0,False,til,acima,5,True,0,154,0.24483,0.08144,True,143,152,-9,-0.01601,0,,,-0.01601,,
questao-72d350__acc__w375__s0.png,questão,questao,questao-72d350,375,0,False,til,acima,5,True,0,58,0.22394,0.05686,True,59,59,0,0.0,0,,,0.0,,
exclusao-7a9dad__acc__w375__s0.png,exclusão,exclusao,exclusao-7a9dad,375,0,False,til,acima,6,True,0,42,0.084,0.0255,True,63,50,13,0.02293,0,,,0.02293,,
regioes-ba061c__acc__w375__s0.png,regiões,regioes,regioes-ba061c,375,0,False,til,acima,4,True,0,13,0.04981,0.02686,True,9,29,-20,-0.04785,0,,,-0.04785,,
visao-ee76db__acc__w375__s0.png,visão,visao,visao-ee76db,375,0,False,til,acima,3,True,0,66,0.10248,0.02865,True,48,52,-4,-0.00533,0,,,-0.00533,,
doencas-7ee44f__acc__w375__s0.png,doenças,doencas,doencas-7ee44f,375,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
doenca-0cc034__acc__w375__s0.png,doença,doenca,doenca-0cc034,375,0,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
espaco-222fe5__acc__w375__s0.png,espaço,espaco,espaco-222fe5,375,0,False,cedilha,abaixo,4,True,0,105,0.20076,0.04545,True,5,0,5,0.00702,5,,,0.00702,,
preco-f110c7__acc__w375__s0.png,preço,preco,preco-f110c7,375,0,False,cedilha,abaixo,3,True,0,1,0.0014,0.00047,True,96,4,92,0.16458,42,,,0.16458,,
espacos-a321bd__acc__w375__s0.png,espaços,espacos,espacos-a321bd,375,0,False,cedilha,abaixo,4,True,0,22,0.04583,0.01149,True,0,5,-5,-0.01059,0,,,-0.01059,,
presenca-d6581f__acc__w375__s0.png,presença,presenca,presenca-d6581f,375,0,False,cedilha,abaixo,6,True,0,119,0.33056,0.06198,True,99,19,80,0.20101,69,,,0.20101,,
pais-8b83c1__acc__w174__s1.png,país,pais,pais-8b83c1,174,1,False,agudo,acima,2,True,0,63,0.09953,0.1291,True,198,71,127,0.32071,0,,,0.32071,,
individuos-2e50a2__acc__w174__s1.png,indivíduos,individuos,individuos-2e50a2,174,1,False,agudo,acima,5,True,0,0,0.0,0.0,True,0,1,-1,-0.00459,0,,,-0.00459,,
esta-2d1080__acc__w174__s1.png,está,esta,esta-2d1080,174,1,False,agudo,acima,3,True,0,213,0.40805,0.11187,True,245,213,32,0.06765,0,,,0.06765,,
filosofo-6185fc__acc__w174__s1.png,filósofo,filosofo,filosofo-6185fc,174,1,False,agudo,acima,3,True,0,105,0.44118,0.0842,True,105,96,9,0.03689,0,,,0.03689,,
vies-abb582__acc__w174__s1.png,viés,vies,vies-abb582,174,1,False,agudo,acima,2,True,0,77,0.09255,0.06111,True,196,166,30,0.03822,0,,,0.03822,,
sera-615740__acc__w174__s1.png,será,sera,sera-615740,174,1,False,agudo,acima,3,True,0,6,0.00542,0.00971,True,6,22,-16,-0.01144,0,,,-0.01144,,
aqueles-f3aa73__acc__w174__s1.png,àqueles,aqueles,aqueles-f3aa73,174,1,False,grave,acima,0,True,0,46,0.18699,0.0697,True,53,54,-1,-0.00375,0,,,-0.00375,,
aquele-305a09__acc__w174__s1.png,àquele,aquele,aquele-305a09,174,1,False,grave,acima,0,True,0,53,0.16719,0.06495,True,40,62,-22,-0.07166,0,,,-0.07166,,
aquela-5f0a77__acc__w174__s1.png,àquela,aquela,aquela-5f0a77,174,1,False,grave,acima,0,True,0,58,0.2723,0.06636,True,63,68,-5,-0.02392,0,,,-0.02392,,
aquelas-cda0ac__acc__w174__s1.png,àquelas,aquelas,aquelas-cda0ac,174,1,False,grave,acima,0,True,0,85,0.2862,0.11273,True,85,87,-2,-0.00673,0,,,-0.00673,,
epoque-f59620__acc__w174__s1.png,èpoque,epoque,epoque-f59620,174,1,False,grave,acima,0,True,0,35,0.06931,0.10938,True,35,40,-5,-0.00883,0,,,-0.00883,,
importancia-39f2c4__acc__w174__s1.png,importância,importancia,importancia-39f2c4,174,1,False,circunflexo,acima,6,True,0,70,0.27559,0.06222,True,70,60,10,0.0346,3,,,0.0346,,
negligencia-07e163__acc__w174__s1.png,negligência,negligencia,negligencia-07e163,174,1,False,circunflexo,acima,6,True,0,2,0.01163,0.00207,True,0,8,-8,-0.03347,0,,,-0.03347,,
influencia-754992__acc__w174__s1.png,influência,influencia,influencia-754992,174,1,False,circunflexo,acima,5,True,0,0,0.0,0.0,True,6,20,-14,-0.05243,0,,,-0.05243,,
ineficiencia-65d1bb__acc__w174__s1.png,ineficiência,ineficiencia,ineficiencia-65d1bb,174,1,False,circunflexo,acima,7,True,0,46,0.17761,0.04212,True,46,40,6,0.02013,12,,,0.02013,,
porque-90c5f0__acc__w174__s1.png,porquê,porque,porque-90c5f0,174,1,False,circunflexo,acima,5,True,0,57,0.16814,0.17015,True,57,45,12,0.02978,3,,,0.02978,,
pode-9faff7__acc__w174__s1.png,pôde,pode,pode-9faff7,174,1,False,circunflexo,acima,1,True,0,9,0.02452,0.00926,True,51,56,-5,-0.01825,2,,,-0.01825,,
depressao-2d26ca__acc__w174__s1.png,depressão,depressao,depressao-2d26ca,174,1,False,til,acima,7,True,0,42,0.15217,0.04082,True,40,29,11,0.03618,14,,,0.03618,,
cidadaos-88079d__acc__w174__s1.png,cidadãos,cidadaos,cidadaos-88079d,174,1,False,til,acima,5,True,0,139,0.20715,0.07351,True,133,183,-50,-0.06831,0,,,-0.06831,,
questao-72d350__acc__w174__s1.png,questão,questao,questao-72d350,174,1,False,til,acima,5,True,0,83,0.29329,0.08469,True,63,81,-18,-0.04036,0,,,-0.04036,,
exclusao-7a9dad__acc__w174__s1.png,exclusão,exclusao,exclusao-7a9dad,174,1,False,til,acima,6,True,0,47,0.08289,0.02664,True,67,56,11,0.02,0,,,0.02,,
regioes-ba061c__acc__w174__s1.png,regiões,regioes,regioes-ba061c,174,1,False,til,acima,4,True,0,20,0.06969,0.04228,True,17,11,6,0.02256,0,,,0.02256,,
visao-ee76db__acc__w174__s1.png,visão,visao,visao-ee76db,174,1,False,til,acima,3,True,0,143,0.22102,0.06373,True,96,36,60,0.06198,25,,,0.06198,,
doencas-7ee44f__acc__w174__s1.png,doenças,doencas,doencas-7ee44f,174,1,False,cedilha,abaixo,4,True,0,3,0.00792,0.00647,True,0,4,-4,-0.00719,0,,,-0.00719,,
doenca-0cc034__acc__w174__s1.png,doença,doenca,doenca-0cc034,174,1,False,cedilha,abaixo,4,True,0,0,0.0,0.0,True,0,0,0,0.0,0,,,0.0,,
espaco-222fe5__acc__w174__s1.png,espaço,espaco,espaco-222fe5,174,1,False,cedilha,abaixo,4,True,0,24,0.04511,0.01154,True,91,89,2,0.00432,0,,,0.00432,,
preco-f110c7__acc__w174__s1.png,preço,preco,preco-f110c7,174,1,False,cedilha,abaixo,3,True,0,7,0.00946,0.00337,True,109,35,74,0.0992,30,,,0.0992,,
espacos-a321bd__acc__w174__s1.png,espaços,espacos,espacos-a321bd,174,1,False,cedilha,abaixo,4,True,0,5,0.01355,0.00277,True,0,0,0,0.0,0,,,0.0,,
presenca-d6581f__acc__w174__s1.png,presença,presenca,presenca-d6581f,174,1,False,cedilha,abaixo,6,True,0,47,0.09234,0.02637,True,34,24,10,0.02137,26,,,0.02137,,
pais-8b83c1__acc__w32__s1.png,país,pais,pais-8b83c1,32,1,False,agudo,acima,2,True,0,87,0.27358,0.09842,True,141,82,59,0.236,0,,,0.236,,
individuos-2e50a2__acc__w32__s1.png,indivíduos,individuos,individuos-2e50a2,32,1,False,agudo,acima,5,True,0,0,0.0,0.0,True,0,0,0,0.0,1,,,0.0,,
